      4 ARO_Index
      1 gb|JN227084.1|+|308-1169|ARO:3001046|TEM-186
      1 gb|JN227085.1|+|351-1227|ARO:3001977|CTX-M-117
      1 gb|JN254627.1|+|0-861|ARO:3001049|TEM-189
      1 gb|JN416112.1|+|0-861|ARO:3001050|TEM-190
      1 gb|JN790864.1|+|238-1114|ARO:3001982|CTX-M-123
      1 gb|JN935135.1|+|0-861|ARO:3001053|TEM-193
      1 gb|JN935136.1|+|0-861|ARO:3001054|TEM-194
      1 gb|JN935137.1|+|0-861|ARO:3001055|TEM-195
      1 gb|JQ034306.1|+|0-861|ARO:3001376|TEM-196
      4 gb|JQ394987.1|+|0-1233|ARO:3001328|Ecol_mdfA
      1 gb|JX042489.1|+|141-1002|ARO:3000890|TEM-19
      1 gb|JX050178.1|+|1-853|ARO:3001058|TEM-199
      1 gb|JX310327.1|+|0-861|ARO:3001378|TEM-201
      1 gb|JX313020.1|+|0-876|ARO:3001991|CTX-M-132
      1 gb|KC107824.1|+|0-876|ARO:3001997|CTX-M-139
      1 gb|KC149518.1|+|0-861|ARO:3001369|TEM-153
      1 gb|KC292503.1|+|4334-5195|ARO:3000904|TEM-34
      1 gb|KC351754.1|+|157-1033|ARO:3001995|CTX-M-136
      1 gb|KC783461.1|+|0-861|ARO:3001383|TEM-206
      1 gb|KC818234.1|+|0-861|ARO:3001384|TEM-207
      1 gb|KC865667.1|+|183-1044|ARO:3001385|TEM-208
      1 gb|KC900516.1|+|0-858|ARO:3001382|TEM-205
      1 gb|KF240808.1|+|0-861|ARO:3001386|TEM-209
      1 gb|KF240809.1|+|0-876|ARO:3002000|CTX-M-142
      1 gb|KF513179.1|+|0-861|ARO:3001388|TEM-211
      1 gb|KF663615.1|+|0-858|ARO:3001390|TEM-213
      1 gb|KF944358.1|+|0-861|ARO:3001393|TEM-216
      1 gb|KJ020573.1|+|274-1150|ARO:3002002|CTX-M-144
      1 gb|KM114268.1|+|0-861|ARO:3003157|TEM-219
      1 gb|KM211508.1|+|0-876|ARO:3003163|CTX-M-155
      1 gb|KM211509.1|+|0-876|ARO:3003164|CTX-M-156
      1 gb|KM211510.1|+|0-876|ARO:3003165|CTX-M-157
      1 gb|KM211691.1|+|0-876|ARO:3003166|CTX-M-158
      1 gb|KM998962.1|+|0-861|ARO:3003158|TEM-220
      1 gb|KP050491.1|+|0-861|ARO:3001391|TEM-214
      1 gb|KP050492.1|+|0-861|ARO:3001392|TEM-215
      1 gb|KP681697.1|+|0-876|ARO:3003646|CTX-M-162
      1 gb|KP681698.1|+|0-876|ARO:3003647|CTX-M-163
      1 gb|KP727571.1|+|0-876|ARO:3003648|CTX-M-164
      1 gb|KR091911.1|-|74564-75350|ARO:3002578|AAC(6')-Ib7
      1 gb|KY432484.1|+|0-861|ARO:3001051|TEM-191
      1 gb|LC542923.1|-|2479-3340|ARO:3000930|TEM-61
      1 gb|LK391770.1|+|19707-20568|ARO:3000876|TEM-4
      1 gb|LN830266.1|+|0-876|ARO:3003650|CTX-M-166
      4 gb|LR730402.1|+|740042-740987|ARO:3003843|leuO
      1 gb|M88143.1|+|367-1228|ARO:3000884|TEM-12
      1 gb|MZ026156.1|+|0-861|ARO:3007453|TEM-244
      4 gb|NC_004337.2|-|420956-422150|ARO:3007509|Sfle_acrA
      1 gb|NG_048936.1|+|0-876|ARO:3002007|CTX-M-150
      1 gb|NG_048952.1|+|0-876|ARO:3005590|CTX-M-167
      1 gb|NG_048954.1|+|100-976|ARO:3005592|CTX-M-169
      1 gb|NG_048956.1|+|0-876|ARO:3005593|CTX-M-170
