ARO Accession	CVTERM ID
ARO:3002072	38472
ARO:3002069	38469
ARO:3002017	38417
ARO:3002073	38473
ARO:3002074	38474
ARO:3002075	38475
ARO:3002076	38476
ARO:3002077	38477
ARO:3002078	38478
ARO:3002079	38479
ARO:3002080	38480
ARO:3002081	38481
ARO:3002082	38482
ARO:3002018	38418
ARO:3002083	38483
ARO:3002084	38484
ARO:3002085	38485
ARO:3002086	38486
ARO:3002087	38487
ARO:3002088	38488
ARO:3002089	38489
ARO:3002090	38490
ARO:3002091	38491
ARO:3002092	38492
ARO:3002019	38419
ARO:3002093	38493
ARO:3002094	38494
ARO:3002095	38495
ARO:3002096	38496
ARO:3002097	38497
ARO:3002098	38498
ARO:3002099	38499
ARO:3002100	38500
ARO:3002102	38502
ARO:3006464	44926
ARO:3002020	38420
ARO:3002103	38503
ARO:3002106	38506
ARO:3002107	38507
ARO:3002108	38508
ARO:3002109	38509
ARO:3002110	38510
ARO:3002111	38511
ARO:3002070	38470
ARO:3004639	42633
ARO:3003994	40876
ARO:3007075	45637
ARO:3003099	39665
ARO:3003093	39646
ARO:3003100	39666
ARO:3003101	39667
ARO:3003102	39668
ARO:3003103	39669
ARO:3003104	39670
ARO:3005063	43267
ARO:3005064	43268
ARO:3003716	40370
ARO:3000830	37210
ARO:3005049	43249
ARO:3006864	45326
ARO:3006865	45327
ARO:3006866	45328
ARO:3006867	45329
ARO:3000518	36657
ARO:3006868	45330
ARO:3007118	45694
ARO:3006869	45331
ARO:3006870	45332
ARO:3006871	45333
ARO:3001864	38264
ARO:3001873	38273
ARO:3001959	38359
ARO:3001960	38360
ARO:3001961	38361
ARO:3001962	38362
ARO:3001963	38363
ARO:3001965	38365
ARO:3001966	38366
ARO:3001967	38367
ARO:3001968	38368
ARO:3001969	38369
ARO:3001874	38274
ARO:3001970	38370
ARO:3001971	38371
ARO:3001972	38372
ARO:3001973	38373
ARO:3001974	38374
ARO:3001975	38375
ARO:3001976	38376
ARO:3001977	38377
ARO:3001875	38275
ARO:3001980	38380
ARO:3001981	38381
ARO:3001982	38382
ARO:3001983	38383
ARO:3001984	38384
ARO:3001985	38385
ARO:3001986	38386
ARO:3001988	38388
ARO:3001876	38276
ARO:3001989	38389
ARO:3001990	38390
ARO:3001991	38391
ARO:3001992	38392
ARO:3001995	38395
ARO:3001994	38394
ARO:3001996	38396
ARO:3001997	38397
ARO:3001877	38277
ARO:3001998	38398
ARO:3001999	38399
ARO:3002000	38400
ARO:3002001	38401
ARO:3002002	38402
ARO:3002004	38404
ARO:3002005	38405
ARO:3002006	38406
ARO:3001878	38278
ARO:3002007	38407
ARO:3002008	38408
ARO:3002009	38409
ARO:3002010	38410
ARO:3002011	38411
ARO:3003163	39740
ARO:3003164	39741
ARO:3003165	39742
ARO:3003166	39743
ARO:3003167	39744
ARO:3001879	38279
ARO:3003168	39745
ARO:3003169	39746
ARO:3003646	40256
ARO:3003647	40257
ARO:3003648	40258
ARO:3003649	40259
ARO:3003650	40260
ARO:3005590	44052
ARO:3005591	44053
ARO:3005592	44054
ARO:3001880	38280
ARO:3005593	44055
ARO:3005594	44056
ARO:3005595	44057
ARO:3005596	44058
ARO:3005597	44059
ARO:3005598	44060
ARO:3005599	44061
ARO:3005600	44062
ARO:3005601	44063
ARO:3005602	44064
ARO:3005603	44065
ARO:3005604	44066
ARO:3005605	44067
ARO:3005606	44068
ARO:3005607	44069
ARO:3005608	44070
ARO:3005609	44071
ARO:3005610	44072
ARO:3005611	44073
ARO:3005612	44074
ARO:3001881	38281
ARO:3005613	44075
ARO:3005614	44076
ARO:3005615	44077
ARO:3005616	44078
ARO:3005617	44079
ARO:3005618	44080
ARO:3005619	44081
ARO:3005620	44082
ARO:3005621	44083
ARO:3005622	44084
ARO:3001865	38265
ARO:3001882	38282
ARO:3005623	44085
ARO:3005624	44086
ARO:3005625	44087
ARO:3005626	44088
ARO:3005627	44089
ARO:3005628	44090
ARO:3005629	44091
ARO:3005630	44092
ARO:3005631	44093
ARO:3005632	44094
ARO:3001883	38283
ARO:3005633	44095
ARO:3005634	44096
ARO:3005635	44097
ARO:3005636	44098
ARO:3005637	44099
ARO:3005638	44100
ARO:3005639	44101
ARO:3005640	44102
ARO:3005641	44103
ARO:3005642	44104
ARO:3001884	38284
ARO:3005643	44105
ARO:3005644	44106
ARO:3005645	44107
ARO:3005646	44108
ARO:3005647	44109
ARO:3005648	44110
ARO:3005649	44111
